département;Ville;longitude;Latitude
1;DRUILLAT;5.31667;46.0667
1;DOMPIERRE-SUR-VEYLE;5.2;46.0667
1;PEROUGES;5.18333;45.9
1;RIGNIEUX-LE-FRANC;5.18333;45.9333
1;GIRON;5.76667;46.2333
1;CERDON;5.46667;46.0833
1;CRUZILLES-LES-MEPILLAT;4.88333;46.2167
1;LELEX;5.95;46.3
1;LHOPITAL;5.77834;46.0217
1;SEGNY;6.08333;46.3
1;CHEIGNIEU-LA-BALME;5.61667;45.8333
1;SAINT-VULBAS;5.28333;45.8333
1;ECHALLON;5.74139;46.21
1;LE MONTELLIER;5.06667;45.9333
1;MARTIGNAT;5.6;46.2167
1;CEYZERIAT;5.31667;46.1667
1;MONTCET;5.11667;46.2
1;VONNAS;5;46.2167
1;BUELLAS;5.13333;46.2
1;SAINT-BENIGNE;4.96667;46.4333
1;CHEVILLARD;5.58333;46.1167
1;BOULIGNEUX;5;46.0167
1;CONTREVOZ;5.63333;45.8
1;CHAMPDOR;5.6;46.0167
1;PORT;5.56667;46.1667
1;SURJOUX;5.8;46.0167
1;CHAMPFROMIER;5.81667;46.2
1;VESINES;4.86667;46.35
1;SEILLONNAZ;5.48333;45.8
1;VARAMBON;5.31667;46.0333
1;LE GRAND-ABERGEMENT;5.66667;46.0333
1;JASSANS-RIOTTIER;4.75;45.9833
1;ASNIERES-SUR-SAONE;4.88333;46.3833
1;CONDAMINE;5.56667;46.1167
1;LHUIS;5.53333;45.75
1;ROMANS;5.03333;46.1167
1;PIZAY;5.08333;45.8833
1;CERTINES;5.26667;46.1333
1;RUFFIEU;5.66667;46
1;MEXIMIEUX;5.2;45.9
1;SAINT-RAMBERT-EN-BUGEY;5.43333;45.95
1;AMBRONAY;5.35;46
1;CIZE;5.43333;46.2
1;SAINT-GERMAIN-SUR-RENON;5.05;46.0833
1;VILLETTE-SUR-AIN;5.26862;45.9884
1;DAGNEUX;5.06667;45.85
1;BOISSEY;5;46.3833
1;SALAVRE;5.35;46.3667
1;BRION;5.55251;46.1728
1;LABALME;5.48333;46.1
1;SAUVERNY;6.11667;46.3167
1;MONTCEAUX;4.8;46.1
1;BRENOD;5.6;46.0667
1;MISERIEUX;4.81667;45.9833
1;PREVESSIN-MOENS;6.08333;46.25
1;LENT;5.2;46.1167
1;MARSONNAS;5.06667;46.3333
1;MANZIAT;4.9;46.35
1;TREVOUX;4.76667;45.9333
1;BELLEGARDE-SUR-VALSERINE;5.81667;46.1
1;BOURG-EN-BRESSE;5.21667;46.2
1;CONFORT;5.81667;46.15
1;SAINT-DENIS-LES-BOURG;5.2;46.2
1;MASSIGNIEU-DE-RIVES;5.76667;45.75
1;SAINT-ETIENNE-SUR-CHALARONNE;4.86667;46.15
1;BOHAS-MEYRIAT-RIGNAT;5.4;46.1333
1;CHEVRY;6.03333;46.2833
1;FAREINS;4.76667;46.0167
1;GORREVOD;4.95;46.4167
1;VALEINS;4.86667;46.1167
1;VIEU-D'IZENAVE;5.53333;46.0833
1;TOUSSIEUX;4.83333;45.9667
1;ARBIGNY;4.96667;46.4667
1;MALAFRETAZ;5.15;46.3167
1;SAMOGNAT;5.58333;46.25
1;CRAS-SUR-REYSSOUZE;5.16667;46.3
1;MESSIMY-SUR-SAONE;4.76473;46.0484
1;POUGNY;5.95;46.1333
1;SANDRANS;4.98333;46.0667
1;PONT-DE-VEYLE;4.88333;46.2667
1;MIJOUX;6;46.3667
1;SAINT-JEAN-DE-GONVILLE;5.95;46.2167
1;SAINT-ANDRE-LE-BOUCHOUX;5.08333;46.1167
1;CHANEINS;4.85;46.1
1;JOYEUX;5.1;45.95
1;TRAMOYES;4.96667;45.8667
1;BIZIAT;4.93333;46.2167
1;IZENAVE;5.53333;46.0333
1;BELMONT-LUTHEZIEU;5.66167;45.8795
1;ARBENT;5.68333;46.3
1;SUTRIEU;5.65;45.95
1;SERRIERES-DE-BRIORD;5.45445;45.8081
1;ARANC;5.5;46
1;CHALEY;5.53333;45.95
1;CURCIAT-DONGALON;5.15;46.4667
1;LOYETTES;5.2;45.7667
1;GEX;6.06667;46.3333
1;COURTES;5.1;46.4667
1;BEREZIAT;5.05;46.3667
1;LAPEYROUSE;4.96667;45.9833
1;APREMONT;5.65833;46.2083
1;VILLIEU-LOYES-MOLLON;5.22223;45.9206
1;LEYMENT;5.3;45.9167
1;ETREZ;5.18333;46.3333
2;GERCY;3.86667;49.8167
2;VILLEMONTOIRE;3.33333;49.3
2;BRANCOURT-LE-GRAND;3.38333;49.9667
2;LICY-CLIGNON;3.26667;49.1
2;PROISY;3.73333;49.9
2;CHAMBRY;3.65;49.6
2;MONT-SAINT-JEAN;4.2;49.7833
2;MORGNY-EN-THIERACHE;4.06667;49.7667
2;MESNIL-SAINT-LAURENT;3.35;49.8333
2;ANNOIS;3.16667;49.7167
2;BRUNEHAMEL;4.18333;49.7667
2;AUDIGNICOURT;3.13333;49.4833
2;MONTIGNY-SUR-CRECY;3.58333;49.7167
2;LOR;4.05;49.5333
2;CHIVRES-EN-LAONNOIS;3.85;49.6333
2;SAINT-GOBAIN;3.38333;49.6
2;UGNY-LE-GAY;3.16667;49.6667
2;HAPPENCOURT;3.18333;49.7833
2;PROUVAIS;3.98333;49.4667
2;AZY-SUR-MARNE;3.36667;49
2;TERNY-SORNY;3.36667;49.45
2;DROIZY;3.38333;49.2833
2;PIGNICOURT;4.03333;49.4167
2;MOUSSY-VERNEUIL;3.63333;49.4167
2;AGUILCOURT;3.96667;49.4
2;MONTAIGU;3.83333;49.5333
2;MOULINS;3.68333;49.4167
2;SAULCHERY;3.3;48.9833
2;NANTEUIL-LA-FOSSE;3.45;49.4333
2;GUIGNICOURT;3.96667;49.4333
2;BUCY-LE-LONG;3.38333;49.4
2;LONGPONT;3.21667;49.2667
2;MONTGOBERT;3.15;49.3
2;NOIRCOURT;4.1;49.6667
2;ROZET-SAINT-ALBIN;3.3;49.2
2;CHIVY-LES-ETOUVELLES;3.58333;49.5167
2;CHAVONNE;3.56667;49.4
2;ARTONGES;3.55;48.9333
2;OISY;3.66667;50.0167
2;JUVIGNY;3.31667;49.45
2;MARCHAIS-EN-BRIE;3.48333;48.8833
2;BOUCONVILLE-VAUCLAIR;3.75556;49.4656
2;LA BOUTEILLE;3.96667;49.8667
2;LY-FONTAINE;3.3;49.7167
2;LOGNY-LES-AUBENTON;4.2;49.8333
2;CUIRIEUX;3.81667;49.6833
2;IRON;3.66667;49.95
2;JONCOURT;3.3;49.95
2;EFFRY;4;49.9333
2;JUMIGNY;3.71667;49.4167
2;CHAOURSE;4;49.7
2;SAINT-REMY-BLANZY;3.3;49.2333
2;BEAUMONT-EN-BEINE;3.13333;49.7
2;LE PLESSIER-HULEU;3.35;49.2333
2;ESTREES;3.28333;49.9667
2;BAULNE-EN-BRIE;3.61667;48.9833
2;GUIVRY;3.11667;49.65
2;VARISCOURT;3.98333;49.4167
2;CHATILLON-SUR-OISE;3.4;49.7833
2;SOISSONS;3.33333;49.3667
2;BRAY-SAINT-CHRISTOPHE;3.15;49.7667
2;LE HERIE-LA-VIEVILLE;3.63333;49.8167
2;AUBENTON;4.2;49.8333
2;BRAYE;3.36667;49.4333
2;BRISSAY-CHOIGNY;3.36667;49.7167
2;REMAUCOURT;3.33333;49.9
2;SERAUCOURT-LE-GRAND;3.21667;49.7833
2;BERRY-AU-BAC;3.9;49.4
2;VIVAISE;3.56667;49.6167
2;PROVISEUX-ET-PLESNOY;4;49.4667
2;CAUMONT;3.18333;49.6167
2;VILLERS-LE-SEC;3.5;49.7833
2;VICHEL-NANTEUIL;3.28333;49.1833
2;ROMERY;3.73333;49.9
2;FONTAINE-LES-CLERCS;3.21667;49.8
2;CHERY-LES-POUILLY;3.6;49.65
2;PITHON;3.1;49.75
2;BEAURIEUX;3.73333;49.4
2;SINCENY;3.25;49.6
2;BOUFFIGNEREUX;3.85;49.3667
2;SAINT-GENGOULPH;3.21667;49.1167
2;PARGNY-LES-BOIS;3.61667;49.7167
2;MONTIGNY-L'ALLIER;3.1;49.1167
2;BEUVARDES;3.48333;49.15
2;CUISSY-ET-GENY;3.7;49.4167
2;REUILLY-SAUVIGNY;3.55;49.0667
2;VAILLY-SUR-AISNE;3.51667;49.4167
2;BIEVRES;3.71667;49.5
2;BERNY-RIVIERE;3.15;49.4167
2;PERLES;3.65;49.3167
2;FONTENELLE-EN-BRIE;3.48333;48.9167
2;NEUFLIEUX;3.16667;49.6
2;SAINTE-CROIX;3.78333;49.4833
2;PARGNY-LA-DHUYS;3.55;48.95
2;BRENELLE;3.53333;49.3667
2;URVILLERS;3.31667;49.7833
2;LAVERSINE;3.16667;49.35
2;ORIGNY-SAINTE-BENOITE;3.5;49.8333
2;CUIRY-HOUSSE;3.48333;49.3
2;LA NEUVILLE-LES-DORENGT;3.68333;49.9667
2;BLANZY-LES-FISMES;3.66667;49.3333
2;HARGICOURT;3.18;49.9623
2;VILLERS-SUR-FERE;3.53333;49.1833
2;LA HERIE;4.05;49.8833
2;BONNESVALYN;3.31667;49.1167
2;HAUTION;3.83333;49.85
2;BERZY-LE-SEC;3.31667;49.3333
2;LA VALLEE-AU-BLE;3.78333;49.8667
2;LE CATELET;3.25;50
2;GIZY;3.76667;49.6
2;SAINT-ALGIS;3.81667;49.8833
2;SAINT-AUBIN;3.18333;49.5167
2;BANCIGNY;4.01667;49.8
2;VILLENEUVE-SUR-FERE;3.46667;49.1833
2;FLEURY;3.15639;49.2581
2;QUINCY-SOUS-LE-MONT;3.55;49.3
2;BESNY-ET-LOIZY;3.58333;49.6
2;CHERY-LES-ROZOY;4.08333;49.7167
2;CHAUNY;3.21667;49.6167
2;SOMMETTE-EAUCOURT;3.11667;49.7333
2;LIERVAL;3.61667;49.4833
2;CHEZY-SUR-MARNE;3.36667;48.9833
2;OULCHES-LA-VALLEE-FOULON;3.75;49.4333
2;ANIZY-LE-CHATEAU;3.45;49.5
2;MAIZY;3.73333;49.3833
2;FOURDRAIN;3.46667;49.6
2;NAMPTEUIL-SOUS-MURET;3.41667;49.3
2;URCEL;3.55;49.5
2;LOUATRE;3.25;49.25
2;BARZY-EN-THIERACHE;3.75;50.0333
2;CONDE-EN-BRIE;3.55;49
2;DAMPLEUX;3.15;49.25
2;SOMMELANS;3.3;49.1333
2;PONTRUET;3.23333;49.9
2;OIGNY-EN-VALOIS;3.13333;49.2167
2;LOUPEIGNE;3.53333;49.25
2;LHUYS;3.55;49.2833
2;EPARCY;4.06667;49.8667
2;LA CHAPELLE-MONTHODON;3.63333;49.0167
2;MORSAIN;3.18333;49.45
2;JAULGONNE;3.53333;49.0833
2;CHERMIZY-AILLES;3.73333;49.4667
2;BECQUIGNY;3.46973;50.0173
2;FESTIEUX;3.75;49.5167
2;VILLERS-LES-GUISE;3.68333;49.9
2;NAMPCELLES-LA-COUR;4;49.7833
2;MONTIGNY-EN-ARROUAISE;3.48333;49.9
2;BERRIEUX;3.85;49.4833
2;CHIGNY;3.76667;49.9167
2;MURET-ET-CROUTTES;3.41667;49.2833
2;FLAVIGNY-LE-GRAND-ET-BEAURAIN;3.66473;49.8909
2;LAON;3.61667;49.5667
2;SAINT-CLEMENT;4.06667;49.7667
2;DERCY;3.68333;49.7
2;ANGUILCOURT-LE-SART;3.43333;49.6833
2;VILLERS-EN-PRAYERES;3.66667;49.3833
2;CHALANDRY;3.63333;49.6833
2;LAVAL-EN-LAONNOIS;3.6;49.5
2;FRESSANCOURT;3.41667;49.6167
2;LE SOURD;3.75;49.8667
2;FONTAINE-NOTRE-DAME;3.43333;49.8833
2;CHERY-CHARTREUVE;3.61667;49.2667
2;MORTEFONTAINE;3.07611;49.3317
2;SERAIN;3.36667;50.0167
2;MAAST-ET-VIOLAINE;3.45;49.2833
2;NEUVILLE-SUR-AILETTE;3.7;49.4667
2;FRANCILLY-SELENCY;3.23333;49.85
2;BEZU-LE-GUERY;3.23333;49.0167
2;MARLE;3.76667;49.7333
2;LEME;3.76667;49.8333
2;CIERGES;3.6;49.1667
2;CRAONNE;3.78333;49.4333
2;COURTEMONT-VARENNES;3.55;49.0667
2;POMMIERS;3.26667;49.4
2;GLAND;3.46667;49.05
2;LANDOUZY-LA-COUR;3.98333;49.85
2;MONTIGNY-LES-CONDE;3.56667;48.9833
2;LEUILLY-SOUS-COUCY;3.33333;49.4833
2;PLOISY;3.3;49.3333
2;SERVAL;3.68333;49.35
2;BILLY-SUR-OURCQ;3.3;49.2167
2;AMBRIEF;3.4;49.3167
2;PRISCES;3.86667;49.7833
2;ROUPY;3.18333;49.8167
2;RONCHERES;3.6;49.15
2;LUGNY;3.81667;49.7833
2;CHEZY-EN-ORXOIS;3.18333;49.1333
2;DHUIZEL;3.61667;49.3667
2;ETAMPES-SUR-MARNE;3.41667;49.0333
2;VAUX-EN-VERMANDOIS;3.15;49.8167
2;BOUE;3.7;50.0167
2;LA FERE;3.36667;49.6667
2;SAINT-MICHEL;4.13333;49.9167
2;CASTRES;3.23333;49.8
2;MESBRECOURT-RICHECOURT;3.55;49.7
2;BEUGNEUX;3.41667;49.2333
2;CLERMONT-LES-FERMES;3.95;49.6667
2;CONDREN;3.28333;49.6167
2;FRANQUEVILLE;3.80945;49.81
2;ARCY-SAINTE-RESTITUE;3.46667;49.25
2;BURELLES;3.9;49.7833
2;ROCOURT-SAINT-MARTIN;3.38333;49.15
2;COMMENCHON;3.16667;49.6333
2;VOULPAIX;3.83333;49.8333
2;BUCY-LES-CERNY;3.51667;49.5833
2;RENANSART;3.45;49.7167
2;PRESLES-ET-BOVES;3.55;49.4
2;LAVAQUERESSE;3.70833;49.95
2;CUFFIES;3.31667;49.4167
2;VILLEQUIER-AUMONT;3.2;49.65
2;VENDELLES;3.13333;49.9167
2;ATTILLY;3.16667;49.85
2;BERLANCOURT;3.75806;49.7787
2;GRISOLLES;3.35;49.15
2;COURCELLES-SUR-VESLE;3.57195;49.3381
2;SONS-ET-RONCHERES;3.66667;49.75
